Course_Code,Course_Name,URL,Last_Assessed,Last_Published,Note,Prerequisite_Courses,Prerequisite_Units,TD_Interactive,TD_Interactive_Written,TD_Context,TD_Context_Written,TD_Integrative,TD_Integrative_Written,TD_Pluralistic,TD_Pluralistic_Written,TD_Change,TD_Change_Written,TD_Systemic,TD_Systemic_Written,Advice,Assessment URL
HLTH2002,Introduction to Global Health,https://programsandcourses.anu.edu.au/course/HLTH2002,15-Jul-24,13-May-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Likely (Peers),Assessment: Student Global Health Conference Presentation ,Likely,"LO: Critically discuss the global burden of disease and intersections with the epidemiological transition, environmental effects, socioeconomic and cultural determinants and gender.",,,,,Likely,"LO: Evaluate the shift from the Millenium Development Goals to the Sustainable Development Goals and apply this knowledge to the health domain;
LO: 
Identify and critically examine the roles of key stakeholders in global health and their impact on changes in global health agendas",,,,
HLTH3002,Professional Practice in Health Science,https://programsandcourses.anu.edu.au/course/HLTH3002,15-Jul-24,15-Dec-23,,Open to students with relevant backgrounds,Normally completed at least 72 units,Highly Likely,"LO: Demonstrate good academic practice and teamwork in researching health topics and participating in collaborative learning activities. 
LO: Demonstrate a capacity to work within a multidisciplinary team to  devise potential solutions to complex problems. ",Likely,LO: Demonstrate an ability to apply principles of health and medical ethics in the context of real world problem facing global health. ,,,,,,,,,,
HLTH3004,Wicked Problems in Health Science,https://cms.anu.edu.au/cms/design/course/69097/view,15-Jul-24,06-Jun-24,New Course,Permission Code,Normally completed at least 96 units,Highly Likely,"LO: Identify and communicate core ideas in key literature or other material on the assigned wicked problem to their peers.
LO: Prepare a joint exegesis which synthesises the problem, analyses relevant challenges and outlines a proposed solution.
Description: While learning about wicked problems, they will also be able to learn from a series of introductory lectures by experts describing exemplar wicked problems. Finally students will work in transdisciplinary groups to develop a contextualised approach to problem-solving for an assigned wicked problem.  
Assessment: Group Collaboration",Likely,"Description: They require intensive cross-boundary collaboration to develop solutions to this problem, in this context, for this population.",Likely,"LO: Critically and reflectively analyse a body of cognate literature as relevant to the assigned wicked problem and prioritise, synthesise and order such a body of work.",Likely,LO: Skills developed will include dialogic methods to appreciate different disciplinary perspectives,,,,,,
HUMN2004,"Global Vietnam: Gender, Labour and Migration",https://cms.anu.edu.au/cms/design/course/70949/view,15-Jul-24,03-Jul-24,,Permission Code,Normally completed at least 48 units,Highly Likely,"Description:  The course is based in Hanoi, the nation s capital, and in addition to offering basic language and cultural awareness instruction (i.e., survival language and etiquette), draws upon expertise from ANU staff, local academics, governmental officials and NGO staff. ",Likely,"LO: LO: 
analyse the ways in which these core themes are made meaningful for people in lived contexts and express this in written work, thus gaining insight into some of the major challenges around gender, labour, and migration in twentieth-century and contemporary Vietnam
Description: The broad themes of the course will be engaged through the study of specific topics (e.g., factory work; marriage migration; human trafficking; development and sustainability; youth, gender identity and social mobility/displacement) from multiple disciplinary perspectives (e.g., cultural studies, sociology, gender studies, anthropology, the fine arts)",Likely,"LO: select, analyse and present materials on contemporary issues pertaining to Vietnamese people",,,Likely,"LO: understand and express key elements of scholarly work on gender, labour, mobility and social and cultural change as these pertain to Vietnam;",,,,
INDN3015,Indonesian in Contemporary Society,https://cms.anu.edu.au/cms/design/course/69423/view,15-Jul-24,01-Jul-24,,Open to students with particular courses,Normally completed at least 96 units,Likely (Peers),Assessment: Tutorial Presentation and class performance,Likely,"Description: Students will delve into a spectrum of pivotal topics within contemporary Indonesian society, spanning socio-cultural and political domains.",,,,,,,,,,
LAWS4001,Unravelling Complexity,,18-Jun-24,,Hold,,,,,,,,,,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4005,Beyond Chaos,,18-Jun-24,,Hold,,,,,,,,,,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4218,Feminist and Critical Theory,https://cms.anu.edu.au/cms/design/course/70000/view,17-Jul-24,06-Nov-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Likely (Peers),LO: Collaborate and debate with peers and staff in ways which respect social and cultural diversity.,Somewhat Likely,"Description: Topics will include feminism within the academy, the concept of equality and violence against women as well as other topics.",Likely,"LO: Synthesise and apply feminist and other critical theories, strategies and methods to analyse law or legal issues and generate new perspectives.",,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4219,"Health Law, Bioethics and Human Rights",https://programsandcourses.anu.edu.au/course/LAWS4219,18-Jun-24,26-Apr-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Somewhat Likely (Material),"LO: Interpret and communicate the principles, law and terminology of health law and bioethics effectively for legal and non-legal audiences.",Somewhat Likely,"LO: Analyse the impact of health law issues in the Australian context for healthcare, health policy and society.",Somewhat Likely,"Description: It takes a multidisciplinary approach in considering both what the law is, and what it should be, as well as its role as a determinant of health.
LO: Synthesise and apply bioethical and human rights principles to legal problems arising in medical and health contexts.",,,,,,,May need some updates to be stronger,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4231,Law and Art: Representation and Critique,https://programsandcourses.anu.edu.au/course/LAWS4231,18-Jun-24,14-Jun-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Somewhat Likely (Material),"LO [Context]: Develop independent research skills by planning, and executing advanced interdisciplinary scholarship and research in the area of law and visual studies.",Somewhat Likely,"LO: Explore and synthesise key contemporary debates shared across the disciplines of law and visual studies including sovereignty, ideology, aesthetics, iconography, and identity.",,,Likely,"Description: Studying works of visual art allows us to get under the skin of our legal values and legal ideologies.
LO: [Pluralistic] Differentiate and appraise research and methods in the fields of legal theory, law, visual studies and art history, with specific reference to the case studies chosen during the course to illustrate these fields.",,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4256,"Law, Gender Identities and Sexualities",https://programsandcourses.anu.edu.au/course/LAWS4256,18-Jun-24,14-Jun-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Somewhat Likely (Material),"Description: [This course will] provide a theoretical framework which highlights the complexity and contradictions inherent in the construction of sexualities, from an interdisciplinary perspective
LO: Plan and execute legal and interdisciplinary research, utilising case law, legislation, scholarly journal articles, and legal databases, in order to produce original scholarship.",Somewhat Likely,"LO: Examine the ways in which gender, class, ethnicity, and sexuality interact with each other and influence the outcome of legal questions;",,,Likely,"LO: Distinguish and apply the different theoretical approaches to sexuality arising from various academic disciplines and methodologies (scientific, moral, sociological, feminist and queer);",,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4260,Law and Psychology,https://programsandcourses.anu.edu.au/course/LAWS4260,18-Jun-24,14-Jun-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Somewhat Likely (Material),"Description:  These topics provide a firm theoretical understanding of classic psychological processes (i.e., attitudinal biases, decision-making, and social cognition) as applied to legal concepts. The course builds on this theoretical framework to explore specific areas of law, such as intellectual property and evidence.
LO: Conduct a research project connecting a law or legal issue to psychological research.",Somewhat Likely,"Description: In particular, psychology illuminates: the conflicts that inspire legal doctrines; the quirks of lawmaker, juries, and judges; and the challenges that occur when a legal system is imposed on individuals
LO: Plan and outline a feasible research project connecting a law or legal issue to psychological research to address a gap in knowledge in law and psychology.",,,,,Somewhat Likely,"Description: We will explore the study and practice of law through the lens of empirically-tested psychological theories.
LO: Suggest reforms to the legal system based on psychological research and consider the benefits and drawbacks of these reforms, and any limitations in the research.",,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4280,Law and the Humanities,https://programsandcourses.anu.edu.au/course/LAWS4280,17-Jul-24,14-Jun-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Somewhat Likely (Material),"Description: We will explore the    Foundations of Law    through the humanistic disciplines of classics, literature, philosophy and theology, which present different modes and means of inquiring into the assumptions and aspirations that we ascribe to law.
LO: Demonstrate an advanced understanding of the conceptual foundations of law within the humanistic intellectual tradition;",Somewhat Likely,"LO: Demonstrate an advanced understanding of the conceptual foundations of law within the humanistic intellectual tradition
LO: Formulate an interdisciplinary research topic with some independence",Somewhat Likely,,,"Description:  We will explore the Foundations of Law through the humanistic disciplines of classics, literature, philosophy and theology, which present different modes and means of inquiring into the assumptions and aspirations that we ascribe to law.
LO: Demonstrate coherent and advanced knowledge of the relationship between law and the humanities",,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4286,"Literature, Law and Human Rights",https://programsandcourses.anu.edu.au/course/LAWS4286,18-Jun-24,14-Jun-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Somewhat Likely (Material),"Description: To address these effectively we need to draw on a range of vocabularies and discourses, and be able to mediate between them   to compare, contrast and evaluate their meanings and impacts.
LO: Recognise, distinguish and appraise research and methods in the fields of law and literature, memory studies, and theory, with specific reference to major case studies chosen to illustrate, particularize, and interrogate core concepts and historical episodes",Likely,"Description: Human rights offers a legal and moral framework that attempts to address experiences of injustice, suffering, and traumatic loss.
LO: Compare, contrast and reflect on contemporary scholarship on and critical approaches to human rights and humanitarian intervention",,,Likely,"Description: Whether as a lawyer, an activist, a politician, a writer, a diplomat, or a citizen, we face a global world whose enormous challenges will require of us the ability to understand the relationship between legal discourse and other discourses such as art, human rights and literature which responses to these challenges.
LO: Recognise, distinguish and appraise research and methods in the fields of law and literature, memory studies, and theory, with specific reference to major case studies chosen to illustrate, particularize, and interrogate core concepts and historical episodes",,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4289,"Leviathan, Art and Law",https://programsandcourses.anu.edu.au/course/LAWS4289,18-Jun-24,14-Jun-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Somewhat Likely (Material),"Description: Our interdisciplinary analysis relates these terms to the wider representational frames they inhabit.
LO: Define and critically analyse keywords and contemporary debates shared across the disciplines of law, legal theory, and philosophy, including sovereignty, constitution, legitimacy, democracy, exclusion, & citizenship.",Likely,"Description: Whether as a philosopher, a lawyer, an activist, a politician, a writer, a diplomat, or a citizen, we face a global world whose enormous challenges require an ability to understand the relationship between law   s own discourse and other forms of thinking about and communicating it.
LO: Evaluate and compare a complex variety of textual sources from a range of different disciplines and genres, and critically analyse their strategies, blind spots, problems, and effects.",,,Likely,"Description: This course draws on the resources of critical theory, philosophy, aesthetics, and legal scholarship, to interrogate urgent contemporary problems pertaining to the establishment and maintenance of legal order and public identity, examining the terms on which we speak of sovereignty, democracy, rights, citizenship, and State violence.
LO [Plurality]: Recognise, distinguish and appraise research and methods in the fields of legal theory, contemporary philosophy and political theory, with specific reference to the case studies chosen during the course to illustrate, particularize, and interrogate these fields.",,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4300,Supervised Research Paper,,18-Jun-24,,Hold,,,,,,,,,,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4309,Colonialism and the Rule of Law,https://programsandcourses.anu.edu.au/course/LAWS4309,18-Jun-24,14-Jun-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Somewhat Likely (Material),"Description: The course is deliberately interdisciplinary in its contents, modes of instruction and methods. It draws on a rich comparative socio-legal, anthropological, sociological and political scientific literature that in recent years has delivered an impressive range of studies on the rule of law in different colonial times and places
LO: Recognise, distinguish and appraise research and methods across different fields in law and the social sciences.",Somewhat Likely,"LO: Evaluate and compare a complex variety of textual sources from a range of different disciplines, contexts, and genres.",,,Likely,"Description: By taking an historical and cultural approach to the rule of law, we will expand and deepen our understanding of these regions' pasts and present day conditions, as well as adopt an empirically informed perspective on how and why the rule of law is so pervasive.
LO: Synthesise, define and critically analyse keywords and contemporary debates shared across the disciplines of law, history, politics, and culture, focusing on advanced critical approaches to the rule of law, law and development, colonialism, and post-colonialism.",,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4312,The Law of Money,https://programsandcourses.anu.edu.au/course/LAWS4312,18-Jun-24,06-May-24,,Open to students with particular courses,Normally completed at least 48 units,Somewhat Likely (Material),"Description: Case studies will include the legal mechanics involved in creating and responding to: financial crises, disparities in wealth (local and global), and the environmental challenges of modern industrial activity.
LO: [Interactive] Select and apply a range of approaches to written and oral communication, and hypothesise solutions to complex problems in the regulation of monetary and financial systems",Somewhat Likely,LO: Explore and critically analyse some of the current controversies and trends in the areas of monetary and financial law,,,,,,,,,Unclear whether TD skills are developed,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4315,Law and Development in the Contemporary South Pacific,https://programsandcourses.anu.edu.au/course/LAWS4315,18-Jun-24,14-Jun-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Somewhat Likely (Material),be able to access and analyse South Pacific legal materials and to employ a variety of tools and methodological approaches useful for legal research and practice in South Pacific contexts.,Somewhat Likely,"LO: have a broad understanding of the multiple meanings of    law    in the social, political and legislative contexts of the independent South Pacific, and be able to consider which meaning may be appropriate in different contexts;",Somewhat Likely,"Description: It considers the multiple meanings of 'law' in the social, political and legislative contexts of the South Pacific;
LO: have a broad understanding of the multiple meanings of 'law' in the social, political and legislative contexts of the independent South Pacific, and be able to consider which meaning may be appropriate in different contexts",,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4321,Law and Social Movements,https://programsandcourses.anu.edu.au/course/LAWS4256,18-Jun-24,14-Jun-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Likely (Experts),"LO: Design a considered and informed strategy for advancing a group project directed at law reform and social change.
Note non-required alignment with College   s existing Law Reform and Social Justice programme.",Likely,"Description: We will consider key cases and legal battles, but by setting these within their socio-political contexts, students will critically evaluate the role of lawyers as agents of social change and the significance of courts as arenas for political disputes.
LO: Construct and communicate clear and persuasive written and oral arguments about the relevance of context and history to thinking about law and legal institutions.",Likely,"Description: This course introduces students to socio-legal and ""law in context"" methodologies. This involves thinking about law in its social, spatial, and political dimensions, with theory and concepts stretching across disciplines.
LO: [Context] Synthesise understandings of the history, social and political character of legal change.",,,Likely,LO: Design a considered and informed strategy for advancing a group project directed at law reform and social change.,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4344,Environmental Justice Practicum,https://programsandcourses.anu.edu.au/course/LAWS4344,18-Jun-24,14-Jun-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Likely (Peers),"Description: Students will attend seminars on topics of interest, and work in cross-disciplinary teams on environmental issues.
Assessment: Science/legal educational product [30%]
LO: Develop skills to advocate for the community on public interest environmental issues.",Likely,"LO: Research and critically analyse environmental issues, incorporating legal, scientific and First Nations' perspectives.",Highly Likely,"Description: Recognising that environmental issues are multifaceted, this course takes an interdisciplinary approach, providing an opportunity for students of each discipline to benefit from peer-to-peer learning, and to gain an understanding of the interrelationship between the two disciplines.
LO: Reflect on and evaluate the role of lawyers and scientists in relation to environmental issues.",,,Likely,LO: Evaluate the role and ability of environmental law and science to propose solutions to deliver improved environmental outcomes.,,,Note to check which course ENVS students enrol in.,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LAWS4700,Law Research Capstone Project,,18-Jun-24,,Hold,,,,,,,,,,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
LING2015,"Language, Culture and Translation",https://cms.anu.edu.au/cms/design/course/70950/view,17-Jul-24,03-Jul-24,,Open to students with particular courses,Normally completed at least 48 units,Somewhat Likely (Material),Assessment: The report is designed for students to engage with bilingual speakers or developing bilingual speakers to explore real-world issues relating to translatability.,Likely,"LO: critically examined the links between culture and translation, and the limits of translatability related to cultural differences;
Description: Topics discussed will include language universals and  human nature ; translating political and emotion concepts across languages and cultures; different ways of thinking about space and the environment; folk taxonomies and principles of human categorization; the conceptualization of colours, and different ways of  seeing the world  linked with different languages and cultures",,,Likely,LO: identify the challenges involved in translating from and into English in today s world arising from different  cultural worlds  embedded in the meaning of linguistic expressions; and,,,,,,
LING2029,Language Assessment,https://cms.anu.edu.au/cms/design/course/70951/view,17-Jul-24,03-Jul-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Somewhat Likely (Common),"Assessment: Engagement tasks, for example quizzes, forum discussions and presentations",Likely,"LO: critically evaluate the role of language and assessment practices in specific policy contexts;
Description: Starting from the concept of  a language , this course explores the complex relationships between language use, language acquisition, and mechanisms, such as policies, standardized tests and assessment processes.",,,,,Somewhat Likely,"LO: enabling them to make informed connections between government or institutional policies, their instruments and the sociopolitical priorities that drive them",,,,
LING2034,Communication in Health Care,https://cms.anu.edu.au/cms/design/course/70952/view,17-Jul-24,03-Jul-24,,Open to all students,Normally completed at least 48 units,Somewhat Likely (Common),"Assessment: Class Participation; Padlet participation
Description: Students will engage in discussion with their peers during class group work and provide peer feedback on select assessment tasks.",Somewhat Likely,"Description: A growing body of evidence has demonstrated that ineffective communication at all levels of the healthcare system leads to poor patient outcomes, including serious illness and death, clinician dissatisfaction, and inefficiencies in the health system.",Highly Likely,"Description: In this course we introduce students to this relatively new field of healthcare communication research, accumulatively building up their qualitative and mixed methods research skills to undertake their own research project in this area. ",,,Likely,"LO: demonstrate an understanding of the processes of translating evidence based research into communication frameworks, protocols and training to improve practice",,,,
MATH2306,Applied Mathematics II,https://cms.anu.edu.au/cms/design/course/5863/view,20-Jul-24,26-Oct-18,,Open to students with particular courses,Normally completed at least 72 units,Somewhat Likely (Material),"Assessment: This course will be useful for majors in economics, mathematical finance, engineering and physics",Somewhat Likely,"LO:  Apply problem-solving using Fourier series, complex analysis and integral transform techniques applied to diverse situations in physics, engineering and other mathematical contexts.
Description: This course will be useful for majors in economics, mathematical finance, engineering and physics. We will illustrate the theory with examples from these disciplines.",LIkely,"Description: 
In physics, economics and engineering, we frequently encounter quantities (for example energy) that depend on many variables (such as position, velocity, temperature). ",,,,,,,,
MATH2307,Bioinformatics and Biological Modelling,https://cms.anu.edu.au/cms/design/course/68105/view,20-Jul-24,10-Apr-24,,Open to students with relevant backgrounds,Normally completed at least 48 units,Somewhat Likely (Material),"Description: The course begins with a detailed discussion of sequence alignment algorithms that are critical for assessing the relatedness of DNA, RNA and amino acid sequences.
LO:  Understand basic models for the evolution and comparison of biological sequences.",Somewhat Likely,"Description: a broad range of examples of applications of mathematics in biology, both at the molecular and macroscopic level, will be given",,,Somewhat Likely,"LO: a broad range of examples of applications of mathematics in biology, both at the molecular and macroscopic level, will be given",,,,,,
MATH3015,Stochastic Analysis with Financial Applications,https://cms.anu.edu.au/cms/design/course/68123/view,20-Jul-24,10-Apr-24,,Open to students with particular courses,Normally completed at least 96 units,Somewhat Likely (Material),LO: Explain the core mathematical tools and fundamental concepts of modern financial mathematics,Not Likely,"Description: This course gives a rigorous mathematical introduction to stochastic processes, stochastic differential equations, and their applications in finance",Somewhat LIkely,Description: Stochastic Analysis with Financial Applications provides an accessible but mathematically rigorous introduction to financial mathematics and quantitative finance. ,,,,,,,,
MATH3353,Mathematical Bioinformatics,https://cms.anu.edu.au/cms/design/course/31821/view,20-Jul-24,16-Apr-24,,Open to students with particular courses,Normally completed at least 96 units,Somewhat Likely (Material),"Description: This course begins with a brief review of some of the areas of probability and statistics needed for applications to bioinformatics problems.  
LO:  Demonstrate accurate and efficient use of specific bioinformatics techniques.",Not Likely,Description: give examples of current research.,Likely,"Description: There are four assignments in total, each testing students' understanding and ability to apply the mathematical reasoning behind the four major topics covered in the course to real problems in bioinformatics.",,,,,,,,
MEDN2222,Exquisite Corpse - Insight into the Human Body,https://programsandcourses.anu.edu.au/course/MEDN2222,18-Jun-24,15-Dec-23,,Open to students with relevant backgrounds,Normally completed at least 24 units,Likely (Experts),"Description: Sessions are delivered at the School of Medicine and Psychology anatomy facility and the School of Art and Design, Foundation Studies studios.
LO: Collaborate effectively to solve problems and achieve common goals.",Somewhat Likely,"Description: The aim of this course is to provide an introduction to anatomy through visual arts, using an integrated approach
LO: Demonstrate original exploration of visual arts materials and process in the context of anatomical studies.",Highly Likely,"Description: The aim of this course is to provide an introduction to anatomy through visual arts, using an integrated approach.
Description:  The course will be co-taught by academics in the College of Arts and Social Sciences and The College of Health and Medicine. [...] A peer mentoring process will be established between science students with a background in anatomy and visual art students.",,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
MGMT3015,Corporate Strategy,https://cms.anu.edu.au/cms/design/course/56928/view,17-Jul-24,31-Oct-22,,Open to all students,Normally completed at least 48 units,Highly Likely,"Assessment: Client Focused Presentation (30%)
Activity: Tutorial case study",Somewhat Likely,"Description: choice of strategy at functional, business, corporate and global levels",,,,,Likely,"LO: Formulate appropriate strategies to gain a competitive advantage at both business and corporate levels;
Description: Topics include external analysis of opportunities and threats, internal analysis of capabilities and competencies, choice of strategy at functional, business, corporate and global levels, alignment of structures and controls with strategies and evaluation of strategies. ",,,,
MGMT3025,International Human Resource Management,https://cms.anu.edu.au/cms/design/course/56598/view,17-Jul-24,31-Oct-22,,Open to students with particular courses,Normally completed at least 48 units,Highly Likely,"Assessment: Literature Review Description - The seminars in the first half of the semester will feature guest speakers and case analyse
Assessment: Case Presentation (Group Assignment) (20%)",Likely,"LO: Demonstrate an understanding of the strategic and functional roles of HRM in various international contexts, specially in areas such as recruitment and selection, performance management, training, learning and development, career management, compensation, motivation and repatriation;
LO: Develop competency in dealing with cross cultural situations;",,,,,Likely,"LO: Demonstrate an understanding of the external forces (e.g. globalisation, sociocultural changes, political and economic changes) that have the potential to shape international HRM; and",,,,
MGMT3027,Entrepreneurship Innovation,https://cms.anu.edu.au/cms/design/course/62622/view,17-Jul-24,29-Jun-23,,Open to all students,Normally completed at least 72 units,Highly Likely,"LO: Work effectively in multidisciplinary, cross-cultural teams, communicating, negotiating and contributing shared contributions towards the development of a team project.",Somewhat Likely,"Description:  And in the public sector, the need for effective policies to deal with new challenges and for increasing service delivery with declining budgets also places a premium on innovative thinking
LO: Define, explain and illustrate theories of business innovation and entrepreneurship, the evolution of industries and economies, and the roles of entrepreneurs;",,,,,Likely,"LO: Develop a comprehensive and well structured business plan for a new venture
Description: The course focuses on the skills necessary for the planning, development and launch of entrepreneurial and innovative ventures. ",,,,
MUSI2235,Critical Music Studies,https://cms.anu.edu.au/cms/design/course/71145/view,17-Jul-24,17-Jun-24,,Open to all students,Normally completed at least 36 units,Likely (Peers),"Assessment: Group presentation, 15 minutes - equivalent to 1800 words",Likely,"LO: critically analyse and discuss different forms of music research in cultural and other contexts, and their methods of identifying and addressing musical problems;
Description: In relation to each of these fields, the course highlights core foundational theories and practices, placing them in their historical and cultural context:",Somewhat Likely,Description: The development of these foundational research skills offers essential problem solving and critical analytical tools for developing a musical research practice,Somewhat Likely,"Description: Finally, we ask what roles can practice-based research play in developing our understanding of the internal workings of music creation, production, performance, and reception.",,,,,,
MUSI2236,Music and Globalisation,https://cms.anu.edu.au/cms/design/course/71141/view,17-Jul-24,03-Jul-24,,Open to all students,Normally completed at least 36 units,Likely (Peers),"Assessment: 
Group Map Presentation",Likely,"Description: This course examines the impact of globalisation on local musical practices, exploring how music plays an essential role in articulating identity and place, how music developed into a commodity that is bought and sold, and how music remains a crucial factor in cultural survival throughout our globalised world.
LO: demonstrate listening skills focused on cross-cultural musical elements, developed through the critical study and discussion of selected works;",Likely,"Description: demonstrate research, critical analysis, discussion and writing skills about the discourses surrounding the globalisation of music.",,,,,,,,
MUSI3309,Music and Digital Media,https://cms.anu.edu.au/cms/design/course/71142/view,17-Jul-24,03-Jul-24,,Open to all students,Normally completed at least 72 units,Likely (Peers),Assessment: Group presentation ,Likely,"Description: 
Music and Digital Media is an interdisciplinary course focusing on the business, cultural context, and scientific nature of the [inter]relationship between music and media",,,Likely,"LO: research, critically analyse, and debate current issues/problems surrounding music and digital media from a variety of interdisciplinary perspectives.",Somewhat Likely,Description:  Such is the evolutionary nature of music in the digital age that the issues and problems addressed in this course will vary from year to year,,,,
MUSI3317,Popular Music Studies,https://cms.anu.edu.au/cms/design/course/71163/view,17-Jul-24,03-Jul-24,,Open to all students,Normally completed at least 72 units,Likely (Peers),Assessment: Group Research Presentation,Likely,"Description: This course examines the political significance of popular music through a variety of cultural and contextual lens, such as aesthetics, textual analysis, race, gender, sexuality and materiality",Likely,"LO: interpret and problematise the interrelationships between popular music, culture and politics from several theoretical perspectives in popular music studies; ",,,Somewhat Likely,"Description: Popular music and politics are inextricably linked. In just a few decades, popular music has formed new cultural spaces, influenced politics and policy and empowered minority groups.",,,,
MUSI3328,Music Practice as Research,https://cms.anu.edu.au/cms/design/course/71144/view,17-Jul-24,25-Jun-24,,Open to students with particular courses,Normally completed at least 96 units,Likely (Peers),"Description:  Students will work individually and on group projects to explore theories and methods underpinning music practice research, drawing on written work, exegeses, creative outputs, and case studies.
Assessment: Group Research Presentation, 15 minutes - equivalent of 1800 words",Somewhat Likely,"LO: position musical practice in a research context
Description: This course encourages music students to position their artistic practice in a research context which is focused on the discovery of musical problems",Likely,"LO: critically analyse and discuss a range of theories and methods relevant to practice research.
Description: This course encourages music students to position their artistic practice in a research context which is focused on the discovery of musical problems, the framing of research questions, the planning and execution of research projects, and the dissemination of research findings/results.",,,,,,,,
