academic-plan,program-name,program-acronym,program-year,cricos-code,uac-code,post-nominal,field-of-education,academic-contact,mode-of-delivery,areas-of-interest,academic-career,course-convener,degree-summary__admission-score,degree-summary__requirements-length,degree-summary__requirements-units,introduction,learning-outcomes
BSCY,Bachelor of Science (with Year in Asia),BSCY,2023,099467B,, ,,,In Person,,,,,"
Length
4 year full-time
","
Minimum
            192 Units
        ","With a myriad of majors and minors, craft a science degree that is uniquely yours with the ANU Bachelor of Science.You’ll have the opportunity to experiment in our state-of-the-art laboratories while being mentored by leading scientists. You’ll have the flexibility to go on fieldtrips, take your studies overseas, or try an internship.Whether your passion lies in marine science or mathematics, physics or psychology, you’ll be able to explore your interests and follow your passions with our most flexible science degree.Find out more about our science study areas, degree structure, the university experience, career opportunities and student stories on our website. Get the inside story on what it’s like to be an ANU student by visiting our student blog.The Bachelor of Science (with Year in Asia) is the perfect degree to establish yourself as a future leader in the Asian Century. You will combine study at ANU with one year at a university in an Asian location like Beijing, Tokyo, Seoul or Bangkok. Your Year in Asia will build on the strengths of your Bachelor degree. You will develop an advanced level of language proficiency and an exceptional capacity to understand the societies and cultures of our region. You will study with world-class teachers at ANU and then put your learning into practice on the ground in Asia.","{'1': 'Develop, apply, integrate and generate scientific knowledge in educational and professional contexts;', '2': 'Use a range of skills and methods to identify, analyse and respond to problems and issues;', '3': 'Convey and relate professional and disciplinary information and ideas to diverse audiences in effective and appropriate ways;', '4': 'Work and learn in both independent and collaborative ways with others to encompass diverse abilities and perspectives;', '5': 'Exercise personal, professional and social responsibility as a global citizen.', '6': 'Communicate in the target language with fluency and spontaneity making it possible for the student to interact with native speakers in the target language with minimum strain for either party ', '7': 'Accurately understand and summarise the central ideas of texts on both concrete and abstract topics familiar to the student in the target language', '8': 'Confidently discuss abstract and concrete issues related to their disciplinary focus in an academic setting in the target language.', '9': ""Identify, critically analyse and discuss diverse issues relevant to one's study and life with their classmates and beyond in their target country language""}"
BSPSY,Bachelor of Science (Psychology),BSCPSYC,2023,047423M,138123 (B Science (Psychology)),BPsych,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","What makes the human brain tick?Find out with the Bachelor of Science (Psychology), which provides you with a great base in the key areas of psychology: developmental, social, personality, health and mental health, research methods, cognition and the biological bases of behaviour.In your later year courses, you’ll apply this knowledge and your skills in more specialised areas such as neuroscience, counselling, health, mental health and organisational (business) psychology.Once you’ve completed your third year, you can apply to undertake an Honours year and pursue further postgraduate study. This will allow you to practice as a psychologist or clinical psychologist.Find out more about psychology, the degree structure, the university experience, career opportunities and student stories on our website.","{'1': 'Plan and engage in an independent and sustained critical investigation and evaluation of a chosen research topic', '2': 'Systematically identify relevant theory and concepts, relate these to appropriate methodologies and evidence, and draw appropriate conclusions', '3': 'Engage in critical review of appropriate and relevant information sources', '4': 'Communicate concepts and results clearly and effectively both in writing and orally', '5': 'Record original data and apply statistical or other evaluation processes to original data when appropriate'}"
BSTAT,Bachelor of Statistics,BSTAT,2023,061240A,134200 (B Statistics),BStats,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Statistics opens the door to understanding our world through the exploration of data and the modelling of uncertainty. The need for statistics is growing rapidly as our ability to collect massive amounts of data outruns our ability to understand and use the data we collect. Hal Varian, Chief Economist at Google, declared that “the sexy job in the next ten years will be statisticians”, as the challenge of understanding large, complex data structures mounts. It is estimated that 2.5 exabytes of data is generated every single day, with the accumulated amount of data doubling every 18 months, and that 90% of all data ever gathered was produced within the last two years. What’s more, statistics is critical for every discipline for which data play a role, and in responding to the world’s biggest challenges such as climate change, terrorism, health and medicine, and global economic conditions. Some of the world’s largest employers of statisticians include Google and Facebook as well as governments, financial institutions, medical and pharmaceutical industries, universities and many other sectors. By completing a BStat at ANU, you stand ready to meet humanity’s biggest challenges by understanding the world we observe through the eyes of data and statistical and probability modelling.","{'1': ' Review and synthesise a broad range of statistical knowledge from their chosen major', '2': ' Use the R statistical computing language to carry out a wide variety of statistical tasks', '3': ' Carry out model selection in a multiple linear regression modelling context', '4': ' Describe the concepts of stochastic processes in discrete and continuous time', '5': ' Describe and interpret probability theory, continuous random variables, and sampling distributions and the central limit theorem', '6': ' Analyse programming problems to suggest, design and implement appropriate modular program structures, based on a data-directed approach. \xa0\xa0'}"
BVART,Bachelor of Visual Arts,BVA,2023,073991G,139104 (B Visual Arts), ,,,,,,,,"
Length
3 year full-time
","
Minimum
            144 Units
        ","When undertaking the Bachelor of Visual Arts at the ANU, you will be immersed in a program of rigorous scholarship and intensive studio practice, tailored to your aspirations and informed by internationally renowned art practitioners within Australia’s top-ranking university. You will graduate with the essential creative skills and critical knowledge to address the grand challenges of a rapidly changing world.You will develop deep disciplinary knowledge and learn specialist skills offered across the School of Art and Design studio disciplines, including ceramics, glass, painting, photography and media arts, printmedia and drawing, sculpture and spatial practice, and textiles. You will extend your study through access to courses in the Centre for Art History and Art Theory, combined with access to electives from across the ANU.","{'1': 'apply technical skills and specialist knowledge to realise artworks, artefacts and related forms of creative expression;', '2': 'demonstrate skills and knowledge of the practices, languages, forms, materials, technologies and techniques in the visual arts;', '3': 'recognise and reflect on social, cultural and ethical issues, and apply historical and theoretical perspectives to practice in the visual arts;', '4': 'develop, express and evaluate ideas, concepts and processes by thinking creatively, critically and reflectively;', '5': 'interpret, communicate and present ideas, problems and arguments in modes suited to a range of audiences; and', '6': 'work independently and collaboratively in response to project demands.'}"
ELANG,Diploma of Languages,DIPLANG,2023,NO CRICOS,130015 (D Languages), ,,,,,,,80,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Diploma of Languages prepares students for the increasingly multilingual and international life of the 21st century. You will be taken on a language learning journey designed to facilitate in-depth engagement with the linguistic and cultural aspects of your chosen language or languages. You can choose to study a wide selection of languages, many of which are not available at any other university in Australia. You can complete the Diploma by doing the equivalent of a major in one language (8 courses), or, for those who have prior learning, by doing an Advanced minor (4 courses) in one language as well as either a second minor (4 courses) in another language or four other language-related courses from those listed under the Program Requirements. The Diploma of Languages can be studied concurrently with other ANU programs. Current ANU students who apply to this program will be signalling their intent to complete the Diploma of Languages and their other ANU program concurrently. Applicants commencing in Semester 2 are advised that beginner level language courses are only available for students starting in Semester 1. Enrolment in Semester 2 courses will be subject to a language placement test, and the availability of an appropriate course is not guaranteed. Note that in most cases, the Diploma will be completed on a part-time basis over 3-4 years. Completion on a full-time basis is also possible in limited cases if students have the required language competency upon commencement. Please contact the academic convenor for further information.","{'1': 'communicate proficiently and confidently in the principal studied language;', '2': 'identify the structure and uses of the principal language studied;', '3': 'demonstrate an understanding of the societies and cultures of the principal language studied, and its socio-historical context;', '4': 'construct a schema of the connections between the principal language studied and its geographical, social and cultural origins; and', '5': 'recognise the importance of intercultural communication.'}"
ESTUD,Diploma of Studies,DIPSTUD,2023,NO CRICOS,,Dip St,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Diploma of Studies enables capable domestic senior secondary students studying in the Australian Capital Territory (ACT) at an ACT College to commence undergraduate level study while concurrently enrolled in year 11 or 12. The Diploma of Studies is broad-based in conceptual and theoretical content. Students must commence their Diploma by completing at least one ANU Extension (EXTN-coded) course, and must be concurrently enrolled in years 11 or 12 throughout their enrolment in the EXTN-coded course/s. Applicants for the ANU Extension course must receive the endorsement of their school principal prior to being admitted to the Diploma of Studies program; students must also meet co-requisite study requirements at their home schools. Results obtained in the EXTN Extension course may contribute towards the calculation of a student’s ATAR. A selection process for entry to an EXTN Extension course is based upon the results of a test in the area of study. The Diploma of Studies offers subjects in disciplines of national priority, including mathematics, sciences, and Asian languages. NOTE: This program is not available to international students.","{'1': 'apply theoretical frameworks and research techniques relevant to the minor to understanding national and international issues and problems;', '2': 'identify relevant sources of information from across a variety of media and judge the importance and reliability of those sources;', '3': 'evaluate ideas and develop solutions to problems;', '4': 'work with others, and communicate to diverse audiences, in effective and appropriate ways; and', '5': 'undertake further study at Bachelor degree level.'}"
HACCT,Bachelor of Accounting (Honours),BACC,2023,086221J,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","Students who achieve excellent academic performance in their accounting studies will be eligible to apply for the Honours year.The program extends undergraduate studies in financial accounting, management accounting, auditing and taxation. Students undertake advanced coursework and a research thesis. Classes are conducted in a seminar setting. Students will have the opportunity to interact with research active academic staff, engage in the analysis of advanced accounting issues, and develop critical thinking skills.Students aspiring to the Honours program should consult the Honours Convenor in the Research School of Accounting for advice. Students from other universities can also apply for entry.","{'1': 'Integrate theoretical and technical accounting knowledge in a business context, including issues in accounting research.', '2': 'Exercise judgement under supervision to provide possible solutions to emerging and advanced accounting problems in contemporary contexts using where appropriate social, ethical, economic, regulatory, sustainability, governance and/or global perspectives.', '3': 'Critically apply theoretical and technical accounting knowledge and skills to analyse and provide possible solutions to emerging accounting problems and to conduct a research-based project.', '4': 'Justify and communicate accounting ideas and research issues to both specialists and non-specialists.'}"
HACTS,Bachelor of Actuarial Studies (Honours),BACT,2023,036671G,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","Honours in Actuarial Studies is a program offered within the Research School of Finance, Actuarial Studies and Applied Statistics that offers students who have excelled in their undergraduate actuarial degree a challenging but rewarding year of study. We seek outstanding students who are keen to undertake independent research with the guidance from academic staff. Sufficiently high grades in the coursework component of the honours year will enable students to receive exemptions from some of the Associateship and Fellowship requirements of the Actuaries Institute.","{'1': ' demonstrate a sound knowledge and critical understanding of research design and methods in development of a research proposal and research plan', '2': ' perform independent research', '3': ' exhibit in-depth knowledge of their chosen research topic', '4': ' discuss and apply an actuarial control cycle in a variety of practical commercial situations.\xa0'}"
HADAN,Bachelor of Applied Data Analytics (Honours),BADAN,2023,094622C,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Applied Data Analytics (Honours) is a one year full-time (or equivalent part-time) degree available in one of Computing, Statistics, or Social Sciences that exemplifies the ANU commitment to research-led education.  Building upon the Bachelor of Applied Data Analytics, the degree will provide you with high level preparation for life as a practitioner or for undertaking a higher degree by research. You will be provided with research methods and principles training, undertake some advanced coursework, and complete a major research project.","{'1': '\t\tDemonstrate a sound knowledge and critical understanding of research design and methods', '2': '\t\tApply that knowledge to the development of a research proposal and research plan', '3': '\t\tDevelop the capacity to perform high-level independent research', '4': '\t\tExhibit in-depth knowledge of their chosen research topic', '5': '\t\tDemonstrate a high level of ability to critically analyse and evaluate research questions and communicate the results.'}"
HAHCR,Bachelor of Art History and Curatorship (Honours),BARTHC,2023,082706J,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Art History and Curatorship (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of Bachelor of Art History and Curatorship, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of art history and curatorship, and through the design and implementation of a research project, typically a 20,000 word thesis, that leads to the development of new understandings or that provides solutions to complex problems.","{'1': '\t\tpose a significant research question relating to Art History and Curatorship;', '2': '\t\tinvestigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to Art History and Curatorship, and place these investigations in the context of the relevant intellectual tradition; and', '3': '\t\tcommunicate their research and its findings through an appropriate medium.'}"
HAPRC,Bachelor of Archaeological Practice (Honours),BARCHPRA,2023,081561G,,BArchPrac Hons,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Archaeological Practice (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of Archaeological Practice, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of archaeological practice, and through the design and implementation of a research project, typically a 20,000 word thesis, that leads to the development of new understandings or that provides solutions to complex problems.","{'1': '\t\tpose a significant research question relating to Archaeological Practice;', '2': '\t\tinvestigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to Archaeological Practice, and place these investigations in the context of the relevant intellectual tradition; and', '3': '\t\tcommunicate their research and its findings through an appropriate medium.'}"
HART2,Bachelor of Arts (Honours),BA,2023,002285K,,,Society and Culture not elsewh,,,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Arts (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of Arts, which is the most diverse, most flexible, and most popular degree at the Australian National University, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of your discipline, and through the design and implementation of a research project, typically a thesis of up to 20,000 words, that develops new understandings or that provides solutions to complex problems. An Honours Specialisation is available for all majors in the BA, and any two Honours Specialisations available in the BA for which both sets of admissions criteria have been met are available for combination as Combined Honours.","{'1': 'pose a significant research question relating to their discipline;', '2': 'investigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to the discipline, and place these investigations in the context of the relevant intellectual tradition; and', '3': 'communicate their research and its findings through an appropriate medium.'}"
HARTS,Bachelor of Arts (Honours),BA,2023,002285K,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Arts (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of Arts, which is the most diverse, most flexible, and most popular degree at the Australian National University, Arts Honours provides you with the exciting opportunity to design and acquit your own sophisticated, independent, large-scale research project. Working under the mentorship of ANU’s internationally renowned research academics, Arts Honours allows you to develop the advanced skills and knowledge that are ideally suited to modern professional life or a higher degree by research.","{'1': 'pose a significant research question relating to their discipline;', '2': 'investigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to the discipline, and place these investigations in the context of the relevant intellectual tradition; and', '3': 'communicate their research and its findings through an appropriate medium.'}"
HASIA,Bachelor of Asian Studies (Honours),BAS,2023,085327G,,,Language and Literature,,,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Asian Studies Honours year is an opportunity for those who have completed a good pass degree to do independent research relating to Asia or the Pacific in one of the world's leading universities. As an Honours student you will have access to the wealth of Asian-Pacific expertise across the ANU and to the great holdings of the University and the National libraries. You will have expert supervisory guidance and research training in the College of Asia and the Pacific. With a Bachelor of Asian Studies (Honours) degree, you will acquire in-depth contextual knowledge and develop the research skills you need to move on to a higher research degree and/or professional employment.","{'1': 'pose a significant research question relating to the Asia-Pacific region', '2': 'investigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology, and place these investigations in the context of the relevant intellectual tradition; and', '3': 'communicate their research and its findings through an appropriate medium.'}"
HBIOT,Bachelor of Biotechnology (Honours),BBIO,2023,036675D,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Biotechnology (Honours) degree exemplifies a commitment to research-led education. Biotechnology is a fast moving field where scientists use living organisms and their products, to solve real world problems facing modern society. This exciting field has broad applications in medicine, biology, agriculture, manufacturing, renewable energy and engineering. Honours allows the exploration of research possibilities in this field; it gives you preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of your discipline, and through the design and implementation of a research project, that develops new understandings or provides solutions to complex problems. Honours Specialisations are available that mirror the teaching and research strengths at the ANU in biotechnology.","{'1': 'Plan and engage in an independent and sustained critical investigation of a chosen research topic to generate new knowledge.', '2': 'Systematically evaluate relevant theory and concepts, relate these to appropriate methodologies and evidence and draw appropriate conclusions.', '3': 'Analyse and interpret original research data with statistical or other evaluative processes where appropriate.', '4': 'Demonstrate sufficient mastery to understand and apply relevant experimental techniques and methods to collect original research data', '5': 'Communicate and justify complex concepts and results clearly and effectively to a variety of audiences.'}"
HBUSA,Bachelor of Business Administration (Honours),BBA(HON),2023,063990B,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Business Administration (Honours) builds on undergraduate studies in management and leadership. It comprises three compulsory research methodology courses, one elective course, and the completion of a research thesis.
The research thesis, taken over the entire year with the major emphasis occurring after completion of the coursework, is the critical part of the program as it provides evidence of the student's ability to undertake original research under supervision. Candidates attend the weekly Research School of Management Seminar Series, and present a seminar on their proposed thesis towards the end of their first semester.","{'1': 'Demonstrate a sound knowledge and critical understanding of research design and methods in the field of business administration', '2': 'Apply that knowledge to the development of a research proposal and research plan', '3': 'Develop the capacity to perform high-level independent research', '4': 'Exhibit in-depth knowledge of their chosen research topic'}"
HCLAS,Bachelor of Classical Studies (Honours),BCLASSS,2023,082707G,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Classical Studies (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of Classical Studies, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of classical studies (Ancient History, Ancient Greek, or Latin), and through the design and implementation of a research project, typically a 20,000 word thesis, that leads to the development of new understandings or that provides solutions to complex problems.","{'1': '\t\tpose a significant research question relating to Classical studies;', '2': '\t\tinvestigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to Classical studies, and place these investigations in the context of the relevant intellectual tradition; and', '3': '\t\tcommunicate their research and its findings through an appropriate medium.'}"
HCOMM,Bachelor of Commerce (Honours),BCOM,2023,002288G,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ",Honours in Commerce is a program offered within the College of Business and Economics that offers students who have excelled in their undergraduate studies a challenging but rewarding year of study in various disciplines.,{'1': 'As per learning outcomes for each specialisation'}
HCRIM,Bachelor of Criminology (Honours),BCRIM,2023,082702B,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Criminology (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of Criminology, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of criminology, and through the design and implementation of a research project, typically a 20,000 word thesis, that leads to the development of new understandings or that provides solutions to complex problems.","{'1': '\t\tpose a significant research question relating to criminology;', '2': '\t\tinvestigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to criminology, and place these investigations in the context of the relevant intellectual tradition; and', '3': '\t\tcommunicate their research and its findings through an appropriate medium.'}"
HDESN,Bachelor of Design (Honours),BDES,2023,097617J,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Design (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of Design, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of design, and through the creation and implementation of a research project, typically the formation and installation/exhibition of a coherent, imaginative, focused and speculative design project by integrating studio and contextual investigation/research, that leads to the development of new understandings or that provides solutions to complex problems.","{'1': 'pose a significant research question relating to design;', '2': 'investigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to design, and place these investigations in the context of the relevant intellectual tradition; and', '3': 'communicate their research and its findings through an appropriate medium.'}"
HDEVS,Bachelor of Development Studies (Honours),BDESTH,2023,081558B,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Development Studies (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of Development Studies, it gives high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of development studies, and through the design and implementation of a research project, typically a 20,000 word thesis, that leads to the development of new understandings or that provides solutions to complex problems.","{'1': '\t\tpose a significant research question relating to Development Studies;', '2': '\t\tinvestigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to Development Studies, and place these investigations in the context of the relevant intellectual tradition; and', '3': '\t\tcommunicate their research and its findings through an appropriate medium.', '4': 'consolidate learning of methodologies specific to one of the core disciplines of development studies', '5': 'deepen knowledge of theoretical literature in one of the core disciplines of development studies'}"
HECON,Bachelor of Economics (Honours),BEC,2023,002291A,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","Honours in Economics is a program offered within the Research School of Economics that offers students who have excelled in their undergraduate studies a challenging but rewarding year of study in economics. We seek outstanding students who are keen to undertake independent economics research with the guidance from academic staff. Past students graduating from the Honours in Economics program have been highly successful with careers in government, Industry and academia in leading institutions and organisations around the world.","{'1': 'Demonstrate a sound knowledge and critical understanding of research design and methods', '2': 'Apply that knowledge to the development of a research proposal and research plan', '3': 'Develop the capacity to perform high-level independent research', '4': 'Exhibit in-depth knowledge of their chosen research topic', '5': 'Demonstrate a high level of ability to critically analyse and evaluate economics research questions and communicate the results.'}"
HENSU,Bachelor of Environment and Sustainability (Honours),HENSU,2023,091182B,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Environment and Sustainability (Honours) degree builds on the Bachelor of Environment and Sustainability with the Environment Honours specialisation, reflecting ANU national and international leadership in research in this field.  You will design and implement a unique research project on a topic relevant to environment and sustainability, preparing you for professional life or for a higher degree by research through the development of advanced knowledge of the research principles and methods and theoretical concepts of your discipline. Your research will provide new understandings of or solutions to complex problems; and you will develop skills valued by employers, including holistic thinking and evidence-based decision making.","{'1': 'Plan and engage in an independent and sustained critical investigation and evaluation of a chosen research topic relevant to environment and sustainability to generate new knowledge.', '2': 'Systematically identify and evaluate relevant theory and concepts, relate these to appropriate methodologies and evidence, and draw appropriate original conclusions.', '3': 'Engage in systematic discovery and critical review of appropriate and relevant information sources.', '4': 'If relevant, demonstrate sufficient mastery to understand, evaluate, and appropriately apply techniques and methods to collect original research data and/or develop new techniques and methods to collect original research data.', '5': '\xa0Analyse and interpret research data with appropriate statistical or other evaluative processes to generate new knowledge.', '6': 'Understand and appropriately apply ethical standards of conduct in the collection, evaluation, analysis, and interpretation of data and other resources.', '7': 'Communicate and justify complex research concepts, methods, results, contexts, and implications clearly and effectively both in writing and orally to a variety of audiences.'}"
HENVS,Bachelor of Environmental Studies (Honours),BES,2023,082700D,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Environmental Studies (Honours) degree exemplifies a commitment to research-led education. Building on the Bachelor of Environmental Studies, honours allows the exploration of research possibilities in a broad range of study options from natural ecological and earth system processes, to environmental management, resource use and policy, to cultural ecology and the history of environmental change, perception and philosophy. It gives you preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of your discipline, and through the design and implementation of a research project that develops new understandings or provides solutions to complex problems. Honours Specialisations are available that mirror the teaching and research strengths at the ANU in environmental studies.","{'1': 'Plan and engage in an independent and sustained critical investigation of a chosen research topic to generate new knowledge.', '2': 'Systematically evaluate relevant theory and concepts, relate these to appropriate methodologies and evidence and draw appropriate conclusions.', '3': 'Analyse and interpret original research data with statistical or other evaluative processes where appropriate.', '4': 'Demonstrate sufficient mastery to understand and apply relevant experimental techniques and methods to collect original research data', '5': 'Communicate and justify complex concepts and results clearly and effectively to a variety of audiences.'}"
HEURO,Bachelor of European Studies (Honours),BEURO,2023,082708G,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of European Studies (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of European Studies, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of European studies, and through the design and implementation of a research project, typically a 20,000 word thesis, that leads to the development of new understandings or that provides solutions to complex problems.","{'1': '\t\tpose a significant research question relating to European studies;', '2': '\t\tinvestigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to European studies, and place these investigations in the context of the relevant intellectual tradition; and', '3': '\t\tcommunicate their research and its findings through an appropriate medium.'}"
HFINN,Bachelor of Finance (Honours),BFIN,2023,070007B,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","Honours in Finance is a program offered within the Research School of Finance, Actuarial Studies and Applied Statistics that offers students who have excelled in their undergraduate studies a challenging but rewarding year of study in finance. We seek outstanding students who are keen to undertake independent finance research with the guidance from academic staff. Past students graduating from the Honours in Finance program have been highly successful in professional practice with jobs in the leading investment banks around the world.","{'1': '\t\tDemonstrate a sound knowledge and critical understanding of research design and methods', '2': '\t\tApply that knowledge to the development of a research proposal and research plan', '3': '\t\tDevelop the capacity to perform high-level independent research', '4': '\t\tExhibit in-depth knowledge of their chosen research topic', '5': '\t\tDemonstrate a high level of ability to critically analyse and evaluate corporate finance and investments research questions and communicate the results.'}"
HGENE,Bachelor of Genetics (Honours),BGEN,2023,079655G,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Genetics (Honours) degree exemplifies a commitment to research-led education. Genetics is a multidisciplinary science, which has progressed rapidly over the last fifty years, becoming increasingly important in modern society. Honours allows the exploration of research possibilities in this field from classical genetics, molecular genetics, population genetics to bioinformatics. It gives you preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of your discipline, and through the design and implementation of a research project, which develops new understandings or provides solutions to complex problems. Honours Specialisations are available that mirror the teaching and research strengths at the ANU in genetics.","{'1': 'Plan and engage in an independent and sustained critical investigation of a chosen research topic to generate new knowledge.', '2': 'Systematically evaluate relevant theory and concepts, relate these to appropriate methodologies and evidence and draw appropriate conclusions.', '3': 'Analyse and interpret original research data with statistical or other evaluative processes where appropriate.', '4': 'Demonstrate sufficient mastery to understand and apply relevant experimental techniques and methods to collect original research data', '5': 'Communicate and justify complex concepts and results clearly and effectively to a variety of audiences.'}"
HHLTH,Bachelor of Health Science (Honours),BHLTH,2023,099244F,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Health Science (BHLTH) provides foundation knowledge of biomedical, environmental, and social health determinants; the skills to evaluate health protection initiatives; and,  introduces quantitative, qualitative and mixed-methods research approaches.  In the BHLTH(Hons) you will identify a relevant research question within biomedical science, clinical science, sociology of health, health policy, health economics or population health. You will then conceive an appropriate research strategy for your question, reliably collect and analyse data, and integrate your conclusions to formulate an evidence-based argument, culminating in a written thesis. Skills gained include project management, information literacy, technical writing, and giving effective oral presentations.","{'1': 'Plan and engage in an independent and sustained critical investigation of a chosen research topic to generate new knowledge.', '2': ' Systematically evaluate relevant theory and concepts, relate these to appropriate methodologies and evidence and draw appropriate conclusions.', '3': ' Analyse and interpret original research data with statistical or other evaluative processes where appropriate.', '4': ' Demonstrate sufficient mastery to understand and apply relevant experimental techniques and methods to collect original research data', '5': ' Communicate and justify complex concepts and results clearly and effectively to a variety of audiences.'}"
HINBS,Bachelor of International Business (Honours),BINTBUSH,2023,063989F,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of International Business (Honours) builds on undergraduate studies in International Business. It comprises three compulsory research methodology courses, one elective course, and the completion of a research thesis. The research thesis, taken over the entire year with the major emphasis occurring after completion of the coursework, is the critical part of the program as it provides evidence of the student's ability to undertake original research under supervision. Candidates attend the weekly Research School of Management Seminar Series, and present a seminar on their proposed thesis towards the end of their first semester.","{'1': 'Demonstrate a sound knowledge and critical understanding of research design and methods in the field of international business', '2': 'Apply that knowledge to the development of a research proposal and research plan', '3': 'Develop the capacity to perform high-level independent research', '4': 'Exhibit in-depth knowledge of their chosen research topic'}"
HINSS,Bachelor of International Security Studies (Honours),BINSS,2023,085328F,,,Political Science and Policy S,,,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The International Security Studies program provides specialist training in the international, internal, and transnational security challenges currently facing the Asia-Pacific region. As an Honours student you will have access to the wealth of expertise in international security studies across the ANU and to the great holdings of the University and the National libraries. You will have expert supervisory guidance and research training in the College of Asia and the Pacific. With a Bachelor of International Security Studies (Honours) degree, you will acquire in-depth contextual knowledge and develop the research skills you need to move on to a higher research degree and/or professional employment.",{'0': 'nil'}
