major-code,major-name,major-acronym,major-year,areas-of-interest,academic-career,academic-contact,first-owner,degree-summary__requirements-units,introduction,learning-outcomes,requirements
PAST-MAJ,Pacific Studies,PAST,2023,,Undergraduate,,,"
Total units
            48 Units
        ","The Pacific Studies major employs an interdisciplinary framework to explore important historical and contemporary issues in Oceania. It also provides the basis for students to critically examine the ways in which knowledge about the region, and the region itself, have been framed, constructed and represented, with a particular focus on indigenous epistemologies and voices. Students engage with scholarly and policy debates of critical contemporary importance in the region, including gender, climate change, globalization, the arts, development, and peace, conflict and intervention. The linguistic diversity of Oceania is reflected in the core courses of the major, which are infused with indigenous voices and languages. The major provides students with opportunities to further explore the Pacific through the disciplinary lenses of archaeology, anthropology, indigenous studies, political science, literature, philosophy, and visual arts.","{'1': 'Understand and evaluate historical and current events\n and developments that have shaped the Pacific,', '2': 'Identify and critique the contemporary socio-cultural\n and political systems of the Pacific,', '3': 'Analyse developments in the Pacific in their regional\n and global context,', '4': '\n Understand the processes and disciplinary\n approaches through which current knowledge about the Pacific has developed.'}",Requirements
PECO-MAJ,Peace and Conflict Studies,PECO,2023,"Political Sciences, Strategic Studies",Undergraduate,Dr Cecilia Jacob,,"
Total units
            48 Units
        ","The primary objective of this major is to provide students with a comprehensive understanding of the causes, prevention and containment of conflict, and of theoretical and practical approaches to conflict resolution and peacebuilding. Particular emphasis is given to the relevance of these issues to Australia, Asia and the Pacific, and the major emphasises both the historical and contemporary contexts in which conflicts occur.Students will learn about the conflicts that have shaped our world, region and country, and efforts to prevent and resolve such conflicts. The major is comprehensive in approach, drawing insights from a range of disciplines including anthropology, diplomacy, gender studies, geography, history, international relations, law, peace and conflict studies, political science, security studies, sociology and strategic studies. Students that have completed the major will be well equipped to pursue advanced research in the fields of international relations, peace and conflict studies, and security studies or to develop a career in a wide range of relevant professions, including in non-governmental organisations, international organisations, government and policy bodies.","{'1': 'Understand andevaluate the key concepts and theoretical frameworks in the study of peace andconflict, and critically apply these to important issues in the field;', '2': 'Engage inindependent research, employing appropriate research methods and quality data,to investigate problems related to the prevention, management and resolution ofarmed conflict;', '3': 'Communicateeffectively and knowledgably on peace and conflict issues through both writtenand oral media;', '4': 'Demonstrate anunderstanding of the ethical implications of research and practice in the fieldof peace and conflict studies. '}",Requirements
PERF-MAJ,Performance,PERF,2023,,Undergraduate,,,"
Total units
            48 Units
        ","Most BMus students will take a major or minor in Performance. These courses allow students to refine their skills in the understanding, interpretation and execution of solo and ensemble performance. Students may elect to specialise in a particular genre - classical, jazz, contemporary or folk and world musics - or combine genres. In addition to classes, masterclasses, rehearsals and workshops at the ANU School of Music, Performance students have access to weekly individual instrumental lessons with a teacher (or equivalent summer schools or intensive external tuition). Access to Performance courses is by audition.","{'1': 'demonstrate the specialist technical and cognitive skills involved in music performance; and', '2': 'critically reflect on creative decisions that emerge from their practice led research.'}",Requirements
PERS-MAJ,Persian,PERS,2023,"Cultural Studies, Language Studies",Undergraduate,Dr Zahra Taheri,,"
Total units
            48 Units
        ","Persian language (Farsi) is the mother tongue of more than 150 million people in the Middle East and Central Asia, spoken today primarily in Iran, Afghanistan and Tajikistan, with speakers in a number of other countries in the region. Persian was widely understood from the Mediterranean to India, and has a rich historical and cultural legacy, and includes the work of Ferdousi, Khayyam, Saadi, Rumi and Hafiz.  Persian literature influenced the works of European writers such as Victor Hugo, Voltaire, Lamartine, Maeterlinck, Goethe and F. Scott Fitzgerald, as well as many Arabic, Turkish and Urdu writings, and many Persian words are retained in those language.","{'1': '\xa0write texts in Farsi in the appropriate genre, withcorrect grammatical structures and thematic vocabulary relevant to the level ofthe student;', '2': ""read, comprehend and infer authors' meanings innewspapers, magazines, literary and critical texts written in Farsi;"", '3': 'engage with authentic media such as Persian news,movies or music by analysing and evaluating their content;', '4': 'communicate verbally in a variety of settings withproficient Farsi speakers; and', '5': 'identify and differentiate aspects and issues of thecultures and societies associated with the Farsi language.'}",Requirements
PHIL-MAJ,Philosophy,PHIL,2023,Philosophy,Undergraduate,Prof Philip Dowe,,"
Total units
            48 Units
        ","Philosophy is the study of the fundamental nature of reality and the human experience. It is the bedrock you reach when, in any other discipline, you keep asking: why? At the ANU, philosophy is also a method: approaching a question by breaking it down into its component parts, building up reasoned, logical arguments—and following them wherever they lead, however surprising.","{'1': 'closely analyse and critique arguments in a wide variety of fields and contexts, which may include using formal logic;', '2': 'develop cogent arguments and presentations, including engaging with detailed criticism of their ideas;', '3': 'apply complex abstract ideas to real-world phenomena in a wide variety of fields and contexts;', '4': 'recognise implicit assumptions in social, political, scientific, moral, and cultural arguments, and relate them to contested ideas and real-world scenarios; and', '5': 'describe various philosophical traditions and their history.'}",Requirements
,,,,,,,,,,{'0': 'nil'},
PHYS-MAJ,Physics,PHYS,2023,Physics,Undergraduate,Prof Joseph Hope,,"
Total units
            48 Units
        ","The Physics major introduces physics with the opportunity for in-depth study of selected areas. It aims to provide a balance of knowledge and skills. Central areas of knowledge include: mechanics, electromagnetism, quantum mechanics, and thermal and statistical physics. Mathematical, computational and experimental skills include: problem solving, data gathering, data analysis, and experiment design.The major will prepare students for a variety of careers in areas in which the physical sciences are important, including: research, teaching, and industry.","{'1': 'Describe and explain the fundamental principles of physics, including those of: mechanics, electromagnetism, quantum mechanics, and thermal and statistical physics.', '2': 'Apply the fundamental principles of physics to solve problems, including those likely to be encountered in future careers. Such problems may involve ambiguity and uncertainty and require the application of multiple principles.', '3': 'Integrate the fundamental principles of physics to describe and explain specialised areas of physics.', '4': 'Describe and explain specific examples of how physics is applied to benefit people.', '5': 'Describe critical experiments in the history of physics and explain how they led to revisions of our theoretical descriptions of nature.', '6': 'Use mathematical, computational and experimental skills to solve conceptual and quantitative problems in physics.', '7': 'Demonstrate skills including: equipment familiarity, data gathering, record keeping, data analysis, dealing with uncertainty, experiment design, and comparison with theory.', '8': 'Analyse unfamiliar physical systems and provide order-of-magnitude estimates of quantities. This includes a knowledge of basic physical constants and key equations.', '9': 'Be both creative and rigorous in the design and construction of scientific investigations of physical systems.', '10': 'Effectively communicate physics based analyses to expert and non-expert audiences.', '11': 'Constructively criticise evidence, arguments and conclusions wherever they are encountered.'}",Requirements
POLS-MAJ,Political Science,POLS,2023,Political Sciences,Undergraduate,Dr Matthew Kerby,,"
Total units
            48 Units
        ","Political Science is the study of human relationships that involve power, rule, or authority.  It is about how societies govern themselves and how societies ought to be governed.  It is about the political behaviour of individuals and groups that occurs in all societies.  It is about those who have political power in society and those who do not.Political Science is a broadly-based discipline offering courses that span a number of sub-fields. The major in Political Science introduces students to core concepts and methods and exposes them to four key areas of the discipline: 		Political thought and political theory or ideas, 		Australian government and public policy 		Comparative politics and comparative public policy including the study of particular countries or regions, and 		International politics/international relations.Students who wish to complete additional work in Politics beyond that required for the major may take a second major in International Relations, a minor in Asia-Pacific Politics, Australian Politics, Comparative Politics, International Relations or Political Theory, or select individual POLS courses as electives within their degree.","{'1': 'demonstrate knowledge and understanding of the nature and significance of politics and governance;', '2': 'demonstrate knowledge and understanding of differences in political systems and the contexts in which they operate;', '3': 'apply concepts and theories used in the study of political science to the analysis of interests, ideas, institutions and behaviour and to the evaluation of political phenomena; and', '4': 'demonstrate knowledge of the different research methods used to investigate political phenomena and the ability to apply these methods.'}",Requirements
PSTO-MAJ,Probability and Stochastic Processes,PSTO,2023,"Statistics, Mathematics",Undergraduate,Dr Tao Zou,,"
Total units
            48 Units
        ","Variability, randomness, risk, and related attributes characterise most measurable phenomena in the real world. Probability and Stochastic Processes are concerned with random phenomena occurring dynamically in time or space, or both. They play a critical role in the theory and methods of a wide range of physical, medical, engineering and social sciences, and many others. A good understanding of probability is essential for the study of Statistics. Probability theory is both mathematically elegant and remarkably practical, and the distinction it makes between deterministic and stochastic modelling is fundamental to real-world applications especially in the areas of insurance risk, genetics and evolutionary biology, climatology, epidemiology,  criminology, time series modelling and forecasting,  signal processing and detection, and derivatives pricing and financial mathematics.","{'1': 'Explain the fundamental concepts of probability theory and its position in modern statistical and mathematical sciences and applied contexts', '2': 'Explain the fundamental concepts of stochastic processes in\xa0continuous time and their position in modern statistical and mathematical sciences and applied contexts', '3': 'Solve complex problems relating to probability theory and stochastic processes in a variety of contexts', '4': 'Use stochastic calculus in mathematical and financial problems'}",Requirements
PSYC-MAJ,Psychology,PSYC,2023,Psychology,Undergraduate,AsPr Elizabeth Rieger,,"
Total units
            48 Units
        ","Psychology is the scientific study of how people behave, think and feel. It is a broad-ranging discipline that spans topics including perceiving and thinking, the biological basis of behaviour, human development, perception and cognition, social psychology, personality psychology, and research methodology. Students taking the psychology major will gain an understanding of how to apply the scientific perspective to psychological phenomena in the laboratory and in the real world. Within the major there is flexibility to select courses to meet individual career objectives. The intention of the Psychology major is to ensure the acquisition of contemporary knowledge in psychological theory and evidence across core themes in psychological science.","{'1': 'Understand, apply, integrate and generate psychological knowledge in educational and professional contexts.', '2': 'Develop and engage in a range of skills and methods to identify, analyse, critique and respond to complex problems involving psychological processes.', '3': 'Systematically identify relevant psychological theory and concepts, relate these to appropriate methodologies and evidence, and draw appropriate conclusions.', '4': 'Apply appropriate psychological research methods, including statistical techniques, to evaluate data.', '5': 'Communicate psychological concepts and results clearly and effectively in written and/or oral formats to diverse audiences.', '6': 'Work and learn in both independent and collaborative ways with others to encompass diverse abilities and perspectives on psychological issues.', '7': 'Utilise psychological knowledge and skills for exercising personal, professional and social responsibility as a global citizen.'}",Requirements
QBIO-MAJ,Quantitative Biology,QBIO,2023,Bioinformatics,Undergraduate,AsPr Maja Adamska,,"
Total units
            48 Units
        ","Biological systems are characterised by complex interactions that may be understood through the construction and application of mathematical models. Quantitative analysis is becoming an increasingly important component of biological research as a result of technological developments, which generate unprecedented amounts of biological data. Recent trends in the way biological research is done have generated rapid growth in the fields of bioinformatics, biostatistics and mathematical modelling of biological systems. Quantitative and computational  approaches are now needed to address many of the important unsolved problems of modern biology.                                                                                                                                               This major will equip students with appropriate skills in mathematics to complement a solid foundation in biology.  It is intended to be accompanied by further studies in mathematics, biology, statistics, or computer science. This  major is also suitable for students who wish to continue to postgraduate research in one of these areas.","{'1': 'Master the ideas and concepts of Calculus, Linear Algebra and Differential Equations and develop the ability to apply the acquired knowledge to analyse a specific problem and identify the mathematics that is required to find its solution.', '2': 'Gain a basic understanding of the ideas and concepts of Probability and Statistics.', '3': 'Apply conceptual knowledge of biological principles and processes including evolution and diversity of organisms, inheritance, storage and utilisation of information and the structure and function of molecules, cells and biological systems, to a range of disciplinary and inter-disciplinary contexts.\xa0', '4': 'Design biological experiments, and analyse and interpret experimental results using appropriate quantitative methods.', '5': 'Demonstrate capacity for mathematical reasoning through analysing, proving and explaining concepts from bioinformatics and biological modelling.', '6': 'Describe and apply a\xa0variety of methods in bioinformatics and functional genomics, including scientific programming, interpret\xa0current literature in areas of bioinformatic practice and evaluate research methodology in the context of bioinformatic analysis of DNA sequence data.'}",Requirements
QFIN-MAJ,Quantitative Finance,QFIN,2023,"Actuarial Studies, Finance",Undergraduate,Dr Alexander Vadilyev,,"
Total units
            48 Units
        ","The major in Quantitative Finance builds skills in the concepts and techniques required in the financial markets for statistical analysis and modelling, risk management, model calibration, and derivatives pricing. Students will develop competency in both the theory and the implementation. The analytic skills obtained will be highly beneficial for a career in a hedge fund, funds management, derivatives trading and sales, risk management, or consulting.","{'1': 'Recognise the important role of options, futures and other contingent claims\xa0in the financial markets.', '2': 'Apply mathematical techniques for the pricing and hedging of contingent claims whilst demonstrating appreciation for the underlying assumptions and requirements for these techniques to be valid.', '3': 'Communicate the principles and results using the language and conventions of the discipline.', '4': 'Apply the theory in practice through computer based modelling, in appropriate contexts.', '5': 'Critically engage with and evaluate literature on the management and pricing of contingent claims.\xa0', '6': 'Work independently and collaboratively to collect, process, interpret pricing models and their outcomes.\xa0'}",Requirements
QUEM-MAJ,Quantitative Environmental Modelling,QUEM,2023,"Mathematics, Environmental Science ",Undergraduate,Dr Barry Croke,,"
Total units
            48 Units
        ","This major is designed for anyone interested in the quantification of environmental issues. The field of environment and sustainability provides multiple examples of complex, wicked problems important to humanity, including climate change, food and water security and ecological sustainability. Using quantitative modelling to help solve environmental problems requires an holistic understanding of environmental and Earth systems, supported by an appropriate level of mathematical training and skill. You will develop the necessary mathematical understanding for environmental quantification, including the knowledge of differential equations and vector calculus that are the foundation of most dynamical environmental modelling. The experience in spatial analysis and/or measurement of environmental data that is fundamental in environmental and Earth system science is also part of this major.  Modelling applications are discussed in courses focused on the science of the environment (including weather, climate and climate change, surface hydrology and groundwater, biodiversity and landscape ecology, fire behaviour, and palaeo-environments).","{'1': 'Demonstrate the applied mathematical skills necessary for environmental assessment, modelling and analysis.', '2': 'Understand the importance and implications of quantifying uncertainty in environmental assessment, modelling and analysis, particularly in risk management.', '3': 'Apply this knowledge and associated skills to a range of different environmental systems and problems, including identifying appropriate modelling approaches and adequate data to address specific issues, and critically evaluating model predictions.\xa0', '4': 'Write scientific reports and communicate efficiently with university staff, peer students and the wider community on aspects of quantitative environmental modelling and its applications.', '5': 'Demonstrate conduct that reflects professional expectations within the discipline.'}",Requirements
REEN-MAJ,Resource and Environmental Management,REEN,2023,Environmental Science ,Undergraduate,AsPr Geoffrey Cary,,"
Total units
            48 Units
        ","The major in Resource and Environmental Management is designed for students seeking careers as environmental scientists and natural resource managers who will be able to meet the sustainability challenges and opportunities of this century. It is structured around a core of natural and social sciences courses, and links that set of knowledge and skills with a range of applications in environmental conservation and sustainable resource management. The major in Resource and Environmental Management emphasises experiential and field based learning, and combines broadly based environmental education with focused professional development and opportunities for specialisation. The flexible nature of the curriculum means that students are able to develop a version of the major tailored to their particular interests and goals; consult the convener for assistance in selecting courses for the major (and associated minor/s).","{'1': 'Think critically about natural resource and environmental management issues, and integrate information and construct logical, consistent and synthesised arguments about these issues.', '2': 'Collect, analyse, interpret and present resource and environmental management data (including empirical field data, remotely sensed data and published literature) at a range of scales.', '3': 'Understand and contribute to the development and application of resource and environmental management techniques and policy in the Australian context.', '4': 'Discuss the principles of managing natural resources and the environment with practitioners and stakeholders such as land holders, extension officers, consultants and policy makers.', '5': 'Conduct research into a variety of aspects of resource and environmental management.'}",Requirements
RENE-MAJ,Renewable Energy Systems,RENE,2023,"Environmental Studies, Engineering, Renewable Energy, Climate, Sustainable Engineering",Undergraduate,Prof Klaus Weber,,"
Total units
            48 Units
        ","The Energy and Renewable Energy Systems Major brings together a diverse range of engineering disciplines to achieve a common goal: the delivery of affordable, sustainable, decarbonized energy services to society. The Major builds on a solid foundation of mechanical and electrical engineering knowledge. It recognises that solar photovoltaics and wind energy now comprise three quarters of net new global generation capacity additions (99% in Australia) because they are cheap and getting cheaper. Electrification of transport, heating and industry will more than double electricity demand. Students gain technical knowledge of solar and wind power, electricity transmission and distribution, energy storage, and hydrogen generation and use. Environmental, social, resource, material and financial constraints are considered. The Major gives students a broad context of the available energy resources and energy technologies. Students develop the analytical skills that permit them to select the most appropriate technology, or to combine several of them to meet an energy demand with high performance and low cost. Graduates are able to critically analyse and design affordable and sustainable energy systems, and combine them as required to provide energy solutions. Graduates may pursue further specialisation in other energy technologies, based on the foundations gained through this major. A subset of courses is offered as a flexible minor.","{'1': 'apply wind and solar energy resource mapping and modelling methods\xa0to design\xa0wind and solar farms.', '2': 'evaluate\xa0solutions to engineering problems in\xa0the design and integration of renewable energy and energy storage into the electricity grid\xa0by selecting and applying theoretical principles and methods from mathematics, physics, electrical, electronic and control engineering.', '3': 'demonstrate proficiency with advanced knowledge and tools in the field of renewable energy\xa0engineering, including\xa0knowledge of power systems and embedded systems, and tools for wind and solar energy mapping.', '4': 'identify and compare current developments and emerging trends in the design, integration, and operation of renewable and distributed energy generation, as well as renewables-based industrial processes and transport.', '5': ""use disciplinary knowledge and effective communication skills to critically appraise self and others' engineering designs and solutions."", '6': 'undertake critical reflection and independent research in the field of renewable energy engineering.', '7': 'work effectively and proactively within teams, demonstrating autonomy, professional conduct, well developed judgement, adaptability and responsibility to achieve engineering outcomes at a high standard. '}",Requirements
RSCC-MAJ,Research and Development,RSCC,2023,"Bioinformatics, Computer Science, Information Technology, Software Engineering, Mechatronics",Undergraduate,,,"
Total units
            48 Units
        ",,{'0': 'nil'},Requirements
SANS-MAJ,Sanskrit Language,SANS,2023,"Asian Languages, Translation Studies, Asian Studies, Asia Pacific Studies, Language Studies",Undergraduate,McComas Taylor,,"
Total units
            48 Units
        ","Enquire now >>Sanskrit, the classical language of India, has long been renowned for its beauty, subtlety and complexity. It is the key to the civilisational treasures of Hinduism, Buddhism and Jainism, and provides direct access to a vast repository of literary, scientific and philosophical wisdom. At the ANU we seek to balance the traditional practice of textual reception—reading and grammar—with language production—speaking, chanting and singing—to provide a truly balanced curriculum. By the completion of the major, students will be able to independently read texts from a wide range of genres, they will have mastered basic spoken Sanskrit, and will be able to chant and recite with a high degree of accuracy.","{'1': ' Read a variety of literary genres, including Epic Sanskrit, courtly poetry and drama, smoothly and accurately, and chant or recite the root text in an appropriate manner. \xa0', '2': ' Translate the texts at hand with a high level of competence in using a Sanskrit-English dictionary.', '3': ' Demonstrate thorough understanding of the advanced grammatical structures employed in Sanskrit, and demonstrate expertise in using reference grammars.', '4': ' Appraise the linguistic registers of the root texts, and their place among the various genres of Sanskrit literature, and reflect this in appropriate English translation. Respond creatively to the root text in an appropriate medium.', '5': ' Demonstrate an ability to interpret commentarial texts, showing an understanding of commentarial techniques and vocabulary.', '6': ' Demonstrate knowledge of the social and historical contexts of text at hand.'}",Requirements
SCOM-MAJ,Science Communication,SCOM,2023,Science Communication,Undergraduate,Dr Will Grant,,"
Total units
            48 Units
        ","The Science Communication major aims to complement studies in the traditional science disciplines and to provide a solid foundation for professional science communication careers.The compulsory courses provide training in the presentation and writing of science for diverse audiences, analysis of science and technology issues in the context of the wider community, and research methods for investigating public perceptions of science.This major is a valuable adjunct for students wishing to enter scientific careers, because it enhances the communication skills and social awareness that are increasingly desired by science employers. These skills will strengthen your ability to:Successfully apply for funding for your research,communicate aspects of your research with members of the public and your peers,research and understand public attitudes to your science, particularly in the context of ethical controversy and risk,communicate and apply your scientific knowledge to practical situations in socially appropriate ways,speak confidently at science conferences,talk to the media about your work,andadvise governments on science policy issues such as technological development, healthy living and environmental sustainability.This major is also an excellent foundation for students interested in pursuing careers as professional science communicators. If you have ever dreamt of:making science exhibits for Questacon,presenting television or radio shows about science,becoming a science journalist,rethinking the way science is taught in schools,researching the ways that movies, novels and comics have shaped public attitudes to science, orcampaigning for change on science-related issues such as climate change, nuclear power and animal ethics,then this major is for you.","{'1': ""Recognise that 'science' has many meanings in society, including: bodies of knowledge, distinct sets of practices and methods, political and economic institutions, and, moreover, a human endeavour shaped by culture and context."", '2': 'Communicate science in     accessible and appropriate ways with diverse communication partners.', '3': 'Use a range of means, media,     and technologies to communicate science.', '4': 'Develop strategies to     communicate complex and/or controversial science with stakeholders and     different sectors of the public.', '5': 'Evaluate and critique the     techniques and models used to communicate science.', '6': 'Appraise the interaction of     interests, contexts and people shaping science as process, practice,     discourse and industry in the modern world.', '7': 'Investigate diverse public     attitudes to science and perceptions of science and the influences on     these.', '8': 'Value the promotion of     science communication to build democratic and ethical involvement in     science discussions and decision-making.', '9': 'Comprehend shifts in the     disciplinary development of science communication and how these can inform     current science communication practice.', '10': 'Critically assess and use     scientific and social science primary and secondary sources.', '11': 'Undertake science     communication research drawing on a range of methods such as interviews,     focus groups, questionnaires, and content analyses.', '12': 'Work collaboratively and     independently on science communication research projects and activities.', '13': 'Model the inquiry and     research values of science in their professional conduct.', '14': 'Cultivate a professional     communication profile to advance their career.\xa0'}",Requirements
SCRN-MAJ,Screen Studies,SCRN,2023,Film,Undergraduate,Dr Katharina Bonzel,,"
Total units
            48 Units
        ","Screen Studies explores the rich history of moving pictures and their transformation into today's rapidly changing screen cultures- from silent films to streaming services. The Screen Studies major focuses on how screens mediate our understanding of the world past and present, and provides students with the tools to analyse how screens of all types shape our daily lives. It prompts students to examine how screen media create meaning, and to explore transnational understandings of cinematic, televisual and new media productions. This will include analysis of how the relationships between cultural, gendered, linguistic and national identities in the context of globalisation influence the audience's understanding of what they see on screens.","{'1': 'evaluate and compare diverse historical, textual and critical approaches to cinematic, televisual and new media texts;', '2': 'analyse screen texts across a range of genres and frameworks;', '3': 'apply research skills and methods relevant to the study of screen cultures in national and transnational contexts; and', '4': 'articulate knowledge and understanding of the social and cultural contexts in which screen texts are produced.'}",Requirements
SEAS-MAJ,Southeast Asian Studies,SEAS,2023,"Anthropology, Cultural Studies, History, Asian Studies, Security Studies",Undergraduate,Jane Ferguson,,"
Total units
            48 Units
        ","Southeast Asia is known for its role as an economic hub, as well as its political and cultural diversity. Students in the Southeast Asian Studies major at ANU have access to a wide range of scholars and courses on language, history, cultures, and politics in the region. By completing coursework as prescribed by the major, students will gain a deeper understanding of regional issues, such as power, globalization, ethnicity and gender, as well as processes and issues specific to their country or area of interest. These can include religious systems, economic networks and cross-cultural contact. Current major strengths are in Burmese, Indonesian, Thai and Vietnamese studies, and some of our staff also support work relating to other ethnic nationality and trans-border issues. In addition to developing a critical, analytical understanding of Southeast Asia, past and present, students gain significant knowledge and skills which will boost their qualifications for finding employment, or alternatively, further study for a higher degree program. The Southeast Asian studies major is designed to complement the Indonesian, Thai and Vietnamese language majors, and the Burmese and Tetum language minors, though knowledge of these languages is not required for courses in the Southeast Asian studies major.","{'1': 'Understand and evaluate historical and current events and developments that have shaped Southeast Asia.', '2': 'Identify and critique the contemporary socio-cultural and political systems of Southeast Asia, with detailed understanding of differing trajectories across Mainland and Island Southeast Asia.', '3': 'Analyse current debates relating to regional cooperation and unity, including with supra-national groups, namely ASEAN, in the context of tensions in traditions.', '4': 'Analyse the global significance of events and developments in Southeast Asia.', '5': ' Understand the processes and disciplinary approaches through which current  knowledge about Southeast Asia Studies has developed.\xa0\xa0'}",Requirements
SECU-MAJ,Asia-Pacific Security Studies,SECU,2023,"Pacific Studies, Asian Studies, Security Studies",Undergraduate,Dr Andrew Carr,,"
Total units
            48 Units
        ","The Asia-Pacific Security Major provides students with an in-depth education on the diverse security challenges facing the Asia-Pacific region, and the implications for Australia's foreign and defence policies. The courses are intended for students wishing to pursue careers related to security affairs, international relations, or wishing to undertake graduate work in the fields of strategic and/ or security studies.Students are able to enhance their knowledge through courses about the security of specific states in the Asia-Pacific region, or on topics such as intelligence and nuclear security.","{'1': 'Understand and evaluate historical and current events and developments that have shaped dimensions of security in the Asia-Pacific region,', '2': 'Identify and critique the key concepts, ideas and principal actors in Asia-Pacific security,', '3': 'Analyse developments in security in the Asia-Pacific in their regional and global context,', '4': 'Understand the processes and disciplinary approaches of the security challenges facing the Asia-Pacific region.'}",Requirements
SOCY-MAJ,Sociology,SOCY,2023,Sociology,Undergraduate,Prof Adrian Mackenzie,,"
Total units
            48 Units
        ","Sociology analyses the processes that structure and transform social relations. It explores how identities and societies are formed by virtue of activity occurring in different social contexts. Sociologists examine a wide spectrum of behaviours and they evaluate how and why different social problems and inequalities emerge, how they are experienced, and how they are responded to. The discipline draws on a diverse range of theoretical perspectives and methodological techniques to study the social underpinnings of key concerns, including climate change, surveillance, local and global conflicts, and health and education inequalities.Students develop a ‘sociological imagination’, a way of thinking that enables them to (a) problematise taken-for-granted assumptions; (b) ask critically informed questions; (c) engage in systematic research; and (d) formulate in-depth analytical understandings of social behaviour and relations. A sociology degree provides students with a cognitive and transferable skill set and it empowers them to participate in wider intellectual and policy debates about key social issues. It is therefore a recognised and valued qualification in a range of careers.","{'1': 'think in a sociologically informed manner and formulate sociologically literate questions;', '2': 'understand key dimensions of social organisation and social experience as these are mediated by factors such as ethnicity, class, race, gender, age, sexual preference, disability, religion and nationality;', '3': 'selectively draw on methodological tools to research the social world and collect and analyse primary and secondary data;', '4': '\xa0apply sociological concepts and knowledge to the analysis of real world social issues and inequalities;', '5': 'evaluate the merits of competing methodological approaches and theoretical explanations;', '6': 'communicate sociological knowledge to specialist and non-specialist audiences; and', '7': 'generate tools with which to make a transformative impact on social events and societal change.'}",Requirements
SOFT-MAJ,Software Development,SOFT,2023,"Bioinformatics, Computer Science, Electronic Commerce, Information Technology, Software Engineering",Undergraduate,,,"
Total units
            48 Units
        ","The Software Development major integrates the conceptual and practical skills related to the technology of computer systems used in the creation of high quality software. Students develop the knowledge and skills needed to build software based solutions to complex problems in Information and Communications Technology (ICT), as well as understanding the systems context within which software is developed and operated, preparing them for a professional career in the ICT industry.",{'0': 'nil'},Requirements
SPAH-MAJ,Spanish,SPAH,2023,"European Languages, Linguistics and Applied Linguistics, European Studies, Literature, Latin American Studies",Undergraduate,Prof Catherine Travis ,,"
Total units
            48 Units
        ","The Spanish major provides students with the skills needed to develop an ability to understand, speak, read and write Spanish. Students are exposed to Spanish as used across the Spanish-speaking world, and a wide variety of sources are drawn on. In this way, different cultural expressions of the Spanish-speaking world are incorporated into the classes to enhance the language-learning experience. Students also have the opportunity to deepen their understanding and strengthen their language skills through specialist courses in Hispanic linguistics and Hispanic literatures. Students with existing knowledge of Spanish can begin at a more advanced level, and the exact sequence of courses depends on the level at which the student begins the major.","{'1': 'communicate proficiently and confidently in Spanish;', '2': 'identify the structure and uses of Spanish;', '3': 'demonstrate an understanding of the cultural and linguistics aspects \nof Spanish language and societies and their socio-historical context;', '4': 'construct a schema of the connections between the Spanish language and its geographical, social and cultural origins; and', '5': 'recognise the importance of intercultural communication.'}",Requirements
STAT-MAJ,Statistics,STAT,2023,Statistics,Undergraduate,Dr Jozef Drienko,,"
Total units
            48 Units
        ","Statistics is concerned with the process of planning how to collect data, collection of the data and extracting information from data in the presence of uncertainty and variation. The process is guided by the underlying purpose of the investigation and the formulation of hypotheses and models. The major covers the core components of statistical theory and a range of key applications, such as survival analysis and graphical statistical modelling, and provides a solid foundation for a career as statistician.Employment prospects for statisticians are very bright and varied. Professional accreditation for suitably qualified students of statistics is provided by the Statistical Society of Australia.","{'1': 'Recognise the importance of proper collection and management of quantitative information to the scientific process, including appreciation of the importance of data accuracy, verifiability and context.', '2': 'Apply data analytic techniques that are appropriate to inquiry context, including demonstrating appreciation for the underlying assumptions and data requirements for these techniques to be valid.', '3': 'Communicate the principles and results of data analyses using the language and conventions of the discipline.', '4': 'Apply a wide range of statistical testing and estimation techniques, including modern and computer based modelling, in appropriate contexts.', '5': 'Develop the skills necessary to critically engage with and evaluate literature on data analysis.', '6': 'Explain and convey findings and information from data analysis.', '7': 'Develop the skills necessary to work independently and collaboratively to collect, process, interpret and represent data and inferential outcomes.'}",Requirements
STDA-MAJ,Statistical Data Analytics,STDA,2023,Statistics,Undergraduate,Dr Tao Zou,,"
Total units
            48 Units
        ","Statistics is data science. Through this major you will learn the tools that will empower the next generation of artificial intelligence, scientific inquiry, and predictive analytics for business and government. It will open you up to the exciting world of data science that is driving significant innovation in the world of start-ups and disrupting the socio-economic landscape. This degree will give you a rigorous mathematical and computational foundation in the areas of statistical learning (aka. machine learning), high-dimensional statistics, data visualisation, and the Bayesian approach that will help you build sophisticated models that capture the uncertainty in the world we live in.","{'1': 'Formulate statistical solutions to scientific, business, and policy questions while wrangling real world data, which may be messy, large, and complex.', '2': 'Visualise relationships among high dimensional and complex data (time and space).', '3': 'Demonstrate rigorous understanding of the mathematical and computational underpinnings of various statistical procedures.', '4': 'Explain and utilise the Bayesian framework for data analytics; appreciate when the Bayesian approach is beneficial.', '5': 'Demonstrate an understanding of the differences between the analysis of Big Data compared to the traditional small or medium scale data setting.', '6': 'Demonstrate the ability to evaluate the performance of various predictive models.', '7': 'Demonstrate the ability to analyse various data sets (messy, large, complex) in the statistical package R.', '8': 'Communicate complex statistical ideas and results to diverse audiences.'}",Requirements
