major-code,learning-outcomes-id,learning-outcomes
SCOM-MAJ,1,"Recognise that 'science' has many meanings in society, including: bodies of knowledge, distinct sets of practices and methods, political and economic institutions, and, moreover, a human endeavour shaped by culture and context."
SCOM-MAJ,2,Communicate science in     accessible and appropriate ways with diverse communication partners.
SCOM-MAJ,3,"Use a range of means, media,     and technologies to communicate science."
SCOM-MAJ,4,Develop strategies to     communicate complex and/or controversial science with stakeholders and     different sectors of the public.
SCOM-MAJ,5,Evaluate and critique the     techniques and models used to communicate science.
SCOM-MAJ,6,"Appraise the interaction of     interests, contexts and people shaping science as process, practice,     discourse and industry in the modern world."
SCOM-MAJ,7,Investigate diverse public     attitudes to science and perceptions of science and the influences on     these.
SCOM-MAJ,8,Value the promotion of     science communication to build democratic and ethical involvement in     science discussions and decision-making.
SCOM-MAJ,9,Comprehend shifts in the     disciplinary development of science communication and how these can inform     current science communication practice.
SCOM-MAJ,10,Critically assess and use     scientific and social science primary and secondary sources.
SCOM-MAJ,11,"Undertake science     communication research drawing on a range of methods such as interviews,     focus groups, questionnaires, and content analyses."
SCOM-MAJ,12,Work collaboratively and     independently on science communication research projects and activities.
SCOM-MAJ,13,Model the inquiry and     research values of science in their professional conduct.
SCOM-MAJ,14,Cultivate a professional     communication profile to advance their career.
SCRN-MAJ,1,"evaluate and compare diverse historical, textual and critical approaches to cinematic, televisual and new media texts;"
SCRN-MAJ,2,analyse screen texts across a range of genres and frameworks;
SCRN-MAJ,3,apply research skills and methods relevant to the study of screen cultures in national and transnational contexts; and
SCRN-MAJ,4,articulate knowledge and understanding of the social and cultural contexts in which screen texts are produced.
SEAS-MAJ,1,Understand and evaluate historical and current events and developments that have shaped Southeast Asia.
SEAS-MAJ,2,"Identify and critique the contemporary socio-cultural and political systems of Southeast Asia, with detailed understanding of differing trajectories across Mainland and Island Southeast Asia."
SEAS-MAJ,3,"Analyse current debates relating to regional cooperation and unity, including with supra-national groups, namely ASEAN, in the context of tensions in traditions."
SEAS-MAJ,4,Analyse the global significance of events and developments in Southeast Asia.
SEAS-MAJ,5,Understand the processes and disciplinary approaches through which current  knowledge about Southeast Asia Studies has developed.
SECU-MAJ,1,"Understand and evaluate historical and current events and developments that have shaped dimensions of security in the Asia-Pacific region,"
SECU-MAJ,2,"Identify and critique the key concepts, ideas and principal actors in Asia-Pacific security,"
SECU-MAJ,3,"Analyse developments in security in the Asia-Pacific in their regional and global context,"
SECU-MAJ,4,Understand the processes and disciplinary approaches of the security challenges facing the Asia-Pacific region.
SOCY-MAJ,1,think in a sociologically informed manner and formulate sociologically literate questions;
SOCY-MAJ,2,"understand key dimensions of social organisation and social experience as these are mediated by factors such as ethnicity, class, race, gender, age, sexual preference, disability, religion and nationality;"
SOCY-MAJ,3,selectively draw on methodological tools to research the social world and collect and analyse primary and secondary data;
SOCY-MAJ,4,apply sociological concepts and knowledge to the analysis of real world social issues and inequalities;
SOCY-MAJ,5,evaluate the merits of competing methodological approaches and theoretical explanations;
SOCY-MAJ,6,communicate sociological knowledge to specialist and non-specialist audiences; and
SOCY-MAJ,7,generate tools with which to make a transformative impact on social events and societal change.
SOFT-MAJ,0,nil
SPAH-MAJ,1,communicate proficiently and confidently in Spanish;
SPAH-MAJ,2,identify the structure and uses of Spanish;
SPAH-MAJ,3,"demonstrate an understanding of the cultural and linguistics aspects 
of Spanish language and societies and their socio-historical context;"
SPAH-MAJ,4,"construct a schema of the connections between the Spanish language and its geographical, social and cultural origins; and"
SPAH-MAJ,5,recognise the importance of intercultural communication.
STAT-MAJ,1,"Recognise the importance of proper collection and management of quantitative information to the scientific process, including appreciation of the importance of data accuracy, verifiability and context."
STAT-MAJ,2,"Apply data analytic techniques that are appropriate to inquiry context, including demonstrating appreciation for the underlying assumptions and data requirements for these techniques to be valid."
STAT-MAJ,3,Communicate the principles and results of data analyses using the language and conventions of the discipline.
STAT-MAJ,4,"Apply a wide range of statistical testing and estimation techniques, including modern and computer based modelling, in appropriate contexts."
STAT-MAJ,5,Develop the skills necessary to critically engage with and evaluate literature on data analysis.
STAT-MAJ,6,Explain and convey findings and information from data analysis.
STAT-MAJ,7,"Develop the skills necessary to work independently and collaboratively to collect, process, interpret and represent data and inferential outcomes."
STDA-MAJ,1,"Formulate statistical solutions to scientific, business, and policy questions while wrangling real world data, which may be messy, large, and complex."
STDA-MAJ,2,Visualise relationships among high dimensional and complex data (time and space).
STDA-MAJ,3,Demonstrate rigorous understanding of the mathematical and computational underpinnings of various statistical procedures.
STDA-MAJ,4,Explain and utilise the Bayesian framework for data analytics; appreciate when the Bayesian approach is beneficial.
STDA-MAJ,5,Demonstrate an understanding of the differences between the analysis of Big Data compared to the traditional small or medium scale data setting.
STDA-MAJ,6,Demonstrate the ability to evaluate the performance of various predictive models.
STDA-MAJ,7,"Demonstrate the ability to analyse various data sets (messy, large, complex) in the statistical package R."
STDA-MAJ,8,Communicate complex statistical ideas and results to diverse audiences.
SUST-MAJ,1,"Build an understanding of the role of research in sustainability, both within and beyond academic domains."
SUST-MAJ,2,"Learn and apply the fundamental skills and processes of research design, as they apply to sustainability-related challenges."
SUST-MAJ,3,Learn and apply a range of research methods from different disciplines.
SUST-MAJ,4,"Integrate different forms of disciplinary research into more complex, problem-oriented approaches."
SUST-MAJ,5,Develop and conduct research both individually and in teams.
SUST-MAJ,6,"Apply a range of written, oral and visual communication skills to communicate research outcomes effectively."
,0,nil
TDAR-MAJ,1,"demonstrate sound knowledge of the technologies and techniques, processes, terminology, forms and materials of textiles."
TDAR-MAJ,2,"develop and evaluate design concepts and processes by thinking creatively, critically and reflectively."
TDAR-MAJ,3,"respond to the demands of a project, either independently or 
collaboratively, by applying skills and knowledge to the design, 
visualisation and making of creative works."
TDAR-MAJ,4,"interpret, communicate and present ideas, problems and arguments in modes suited to a range of audiences."
TDAR-MAJ,5,"recognise and reflect on social, ethical, cultural, technological, and
 environmental issues of creative practice and design considering local 
and international perspectives."
TDAR-MAJ,6,identify and apply occupational health and safety principles within a workshop environment.
THAI-MAJ,1,"Express themselves confidently in spoken and written Thai in formal and informal registers of the language, appropriate to the situation."
THAI-MAJ,2,"Summarise, analyse, and discuss the contents of a broad range of authentic materials both in print and other media types."
THAI-MAJ,3,"Communicate in spoken and written Thai in an appropriate style with correct grammatical structures, expression, and thematic vocabulary relevant to areas of personal and academic interest."
THAI-MAJ,4,Communicate in spoken and written Thai an understanding of the socio-cultural context and underlying issues relevant to the materials and situation.
THAI-MAJ,5,"Demonstrate an understanding of how the socio-cultural context impact communication in Thai and the ways in which the language, culture and society are intertwined in discourse in Thai."
THST-MAJ,1,"Explain the notion of a parametric model, point estimation of the parameters of those models, including maximum likelihood estimation, and inference in simple statistical models with several parameters."
THST-MAJ,2,"Demonstrate an understanding of approaches to include a measure of accuracy for estimation procedures and our confidence in them, and apply them to interval estimation."
THST-MAJ,3,Demonstrate an understanding of and apply methods of hypothesis testing to assess the plausibility of pre-specified ideas about the parameters of a model.
THST-MAJ,4,"Explain and apply the ideas of non-parametric statistics, wherein estimation and analysis techniques are developed that are not heavily dependent on the specification of an underlying parametric model."
THST-MAJ,5,"Demonstrate an understanding of the basic concepts of robust estimation in statistics, be able to derive influence functions of simple estimators and use them to evaluate the robustness of estimators."
THST-MAJ,6,Demonstrate an understanding of and explain the different uses of randomisation in statistics.
THST-MAJ,7,"Develop, describe analytically and implement common probability models in the Bayesian framework, interpret the results of a Bayesian analysis and perform Bayesian model evaluation and assessment."
THST-MAJ,8,"Demonstrate an understanding of the role of the prior distribution in Bayesian inference, and in particular the use of non-informative priors and conjugate priors."
THST-MAJ,9,Fit hierarchical models and provide the technical specifications for such models.
THST-MAJ,10,"Demonstrate an understanding of various important concepts in forecasting and different approaches for modelling trend, seasonality and persistence."
THST-MAJ,11,Tailor-make models for specific applications and use them to produce forecasts.
TNSO-MAJ,1,explain the relationship between technology and society from a sociological perspective;
TNSO-MAJ,2,"analyse the social drivers and impacts of technology, especially digital technologies, employing a range of theoretical frameworks;"
TNSO-MAJ,3,use a range of digital and web-based social research methods;
TNSO-MAJ,4,"carry out independent research on topics related to Technology, Networks and Society; and"
TNSO-MAJ,5,"reflect on and discuss the impact of technology on sociological and social scientific knowledge and research, as well as on social relations and practices more broadly."
VIET-MAJ,1,Demonstrate accurate recognition and production of Vietnamese tones and various vowels and consonants.
VIET-MAJ,2,"Use an active vocabulary of around 4,000 items and a passive vocabulary of around 6,000 items, including specialist vocabulary related to students' areas of academic interest."
VIET-MAJ,3,"Communicate with confidence and ease on a wide range of topics, in informal and formal situations with all the four language skills of listening, speaking, reading, and writing."
VIET-MAJ,4,"Use relevant structures and vocabulary to express complex ideas and arguments, and to engage in academic discussion and debate."
VIET-MAJ,5,"Use the language for daily conversations, study, academic research, internship or work in the country."
VIET-MAJ,6,"Demonstrate an understanding of Vietnamese culture and society, and apply cultural awareness to engage with the Vietnamese people."
WARS-MAJ,1,"Understand and evaluate the key theories, ideas, concepts and approaches to the study of war"
WARS-MAJ,2,"Identify and critique the causes, conduct, consequences, and ethics of war on states, societies and cultures"
WARS-MAJ,3,"Analyse the political, military, social, cultural, and ethical impacts of war in their regional and global contexts"
WARS-MAJ,4,"Understand the processes and disciplinary approaches through which current knowledge about the causes, conduct, and consequences of warfare has developed."
WASC-MAJ,1,"Understand the distribution,     quality and use of water resources in Australia, the Australasian region     and the world."
WASC-MAJ,2,Make quantitative     predictions relevant for surface water and groundwater budgets and flow.
WASC-MAJ,3,"Understand the impacts of     climate, land use, and agricultural, commercial and industrial activity on     the quality of surface water and groundwater, including interactions with     biology, atmosphere, regolith and rocks."
WASC-MAJ,4,"Appreciate the difference     between observation and interpretation, in order to analyse critically quantitative     and qualitative data relevant to water quantity and quality."
WASC-MAJ,5,Integrate information across     a range of scientific and engineering disciplines into comprehensive     analysis of water issues.
WASC-MAJ,6,Communicate effectively     through writing scientific and technical reports and oral presentations.
WASC-MAJ,7,Conduct themselves in a way     that reflects professional expectations within the discipline.
